天気コード,天気名称,取得URL,HTTPステータス,SVG判定,ファイルサイズ,取得日時,結果,備考
300,雨,https://www.jma.go.jp/bosai/forecast/img/300.svg,200,OK,5775,2026-09-10 03:50:18,成功,
301,雨時々晴,https://www.jma.go.jp/bosai/forecast/img/301.svg,200,OK,15965,2026-09-10 03:50:18,成功,
302,雨時々止む,https://www.jma.go.jp/bosai/forecast/img/302.svg,200,OK,7635,2026-09-10 03:50:18,成功,
303,雨時々雪,https://www.jma.go.jp/bosai/forecast/img/303.svg,200,OK,12489,2026-09-10 03:50:18,成功,
304,雨か雪,https://www.jma.go.jp/bosai/forecast/img/304.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
306,大雨,https://www.jma.go.jp/bosai/forecast/img/306.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
308,雨で暴風を伴う,https://www.jma.go.jp/bosai/forecast/img/308.svg,200,OK,7981,2026-09-10 03:50:18,成功,
309,雨一時雪,https://www.jma.go.jp/bosai/forecast/img/309.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
311,雨後晴,https://www.jma.go.jp/bosai/forecast/img/311.svg,200,OK,16302,2026-09-10 03:50:18,成功,
313,雨後曇,https://www.jma.go.jp/bosai/forecast/img/313.svg,200,OK,8016,2026-09-10 03:50:18,成功,
314,雨後時々雪,https://www.jma.go.jp/bosai/forecast/img/314.svg,200,OK,11042,2026-09-10 03:50:18,成功,
315,雨後雪,https://www.jma.go.jp/bosai/forecast/img/315.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
316,雨か雪後晴,https://www.jma.go.jp/bosai/forecast/img/316.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
317,雨か雪後曇,https://www.jma.go.jp/bosai/forecast/img/317.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
320,朝の内雨後晴,https://www.jma.go.jp/bosai/forecast/img/320.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
321,朝の内雨後曇,https://www.jma.go.jp/bosai/forecast/img/321.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
322,雨朝晩一時雪,https://www.jma.go.jp/bosai/forecast/img/322.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
323,雨昼頃から晴,https://www.jma.go.jp/bosai/forecast/img/323.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
324,雨夕方から晴,https://www.jma.go.jp/bosai/forecast/img/324.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
325,雨夜は晴,https://www.jma.go.jp/bosai/forecast/img/325.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
326,雨夕方から雪,https://www.jma.go.jp/bosai/forecast/img/326.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
327,雨夜は雪,https://www.jma.go.jp/bosai/forecast/img/327.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
328,雨一時強く降る,https://www.jma.go.jp/bosai/forecast/img/328.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
329,雨一時みぞれ,https://www.jma.go.jp/bosai/forecast/img/329.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
340,雪か雨,https://www.jma.go.jp/bosai/forecast/img/340.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
350,雨で雷を伴う,https://www.jma.go.jp/bosai/forecast/img/350.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
361,雪か雨後晴,https://www.jma.go.jp/bosai/forecast/img/361.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
371,雪か雨後曇,https://www.jma.go.jp/bosai/forecast/img/371.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
400,雪,https://www.jma.go.jp/bosai/forecast/img/400.svg,200,OK,4648,2026-09-10 03:50:18,成功,
401,雪時々晴,https://www.jma.go.jp/bosai/forecast/img/401.svg,200,OK,14775,2026-09-10 03:50:18,成功,
402,雪時々止む,https://www.jma.go.jp/bosai/forecast/img/402.svg,200,OK,6444,2026-09-10 03:50:18,成功,
403,雪時々雨,https://www.jma.go.jp/bosai/forecast/img/403.svg,200,OK,10370,2026-09-10 03:50:18,成功,
405,大雪,https://www.jma.go.jp/bosai/forecast/img/405.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
406,風雪強い,https://www.jma.go.jp/bosai/forecast/img/406.svg,200,OK,40049,2026-09-10 03:50:18,成功,
407,暴風雪,https://www.jma.go.jp/bosai/forecast/img/407.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
409,雪一時雨,https://www.jma.go.jp/bosai/forecast/img/409.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
411,雪後晴,https://www.jma.go.jp/bosai/forecast/img/411.svg,200,OK,15067,2026-09-10 03:50:18,成功,
413,雪後曇,https://www.jma.go.jp/bosai/forecast/img/413.svg,200,OK,6773,2026-09-10 03:50:18,成功,
414,雪後雨,https://www.jma.go.jp/bosai/forecast/img/414.svg,200,OK,11039,2026-09-10 03:50:18,成功,
420,朝の内雪後晴,https://www.jma.go.jp/bosai/forecast/img/420.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
421,朝の内雪後曇,https://www.jma.go.jp/bosai/forecast/img/421.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
422,雪昼頃から雨,https://www.jma.go.jp/bosai/forecast/img/422.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
423,雪夕方から雨,https://www.jma.go.jp/bosai/forecast/img/423.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
425,雪一時強く降る,https://www.jma.go.jp/bosai/forecast/img/425.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
426,雪後みぞれ,https://www.jma.go.jp/bosai/forecast/img/426.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
427,雪一時みぞれ,https://www.jma.go.jp/bosai/forecast/img/427.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
450,雪で雷を伴う,https://www.jma.go.jp/bosai/forecast/img/450.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
